anno,numero,premio,tipo,centena,numero_int,numero_str
2013,08416,1000,normal,416,8416,08416
2013,08598,1000,normal,598,8598,08598
2013,08612,1000,normal,612,8612,08612
2013,08643,1000,normal,643,8643,08643
2013,08706,1000,normal,706,8706,08706
2013,08726,1000,normal,726,8726,08726
2013,08730,1000,normal,730,8730,08730
2013,08780,1000,normal,780,8780,08780
2013,08815,1000,normal,815,8815,08815
2013,08837,1000,normal,837,8837,08837
2013,09076,1000,normal,076,9076,09076
2013,09126,1000,normal,126,9126,09126
2013,09141,1000,normal,141,9141,09141
2013,09144,1000,normal,144,9144,09144
2013,09164,1000,normal,164,9164,09164
2013,09189,1000,normal,189,9189,09189
2013,09210,1000,normal,210,9210,09210
2013,09224,1000,normal,224,9224,09224
2013,09347,1000,normal,347,9347,09347
2013,09435,1000,normal,435,9435,09435
2013,09578,1000,normal,578,9578,09578
2013,09646,1000,normal,646,9646,09646
2013,09756,1000,normal,756,9756,09756
2013,09757,1000,normal,757,9757,09757
2013,09760,1000,normal,760,9760,09760
2013,09813,1000,normal,813,9813,09813
2013,09899,1000,normal,899,9899,09899
2013,09906,1000,normal,906,9906,09906
2013,09935,1000,normal,935,9935,09935
2013,09988,1000,normal,988,9988,09988
2013,10001,1000,normal,001,10001,10001
2013,10024,1000,normal,024,10024,10024
2013,10026,1000,normal,026,10026,10026
2013,10032,1000,normal,032,10032,10032
2013,10099,1000,normal,099,10099,10099
2013,10109,1000,normal,109,10109,10109
2013,10212,1000,normal,212,10212,10212
2013,10290,1000,normal,290,10290,10290
2013,10301,1000,normal,301,10301,10301
2013,10340,1000,normal,340,10340,10340
2013,10341,1000,normal,341,10341,10341
2013,10346,1000,normal,346,10346,10346
2013,10377,1000,normal,377,10377,10377
2013,10387,1000,normal,387,10387,10387
2013,10423,1000,normal,423,10423,10423
2013,10614,1000,normal,614,10614,10614
2013,10690,1000,normal,690,10690,10690
2013,10720,1000,normal,720,10720,10720
2013,10750,1000,normal,750,10750,10750
2013,10778,1000,normal,778,10778,10778
2013,10780,1000,normal,780,10780,10780
2013,10911,1000,normal,911,10911,10911
2013,10925,1000,normal,925,10925,10925
2013,11020,1000,normal,020,11020,11020
2013,11030,1000,normal,030,11030,11030
2013,11164,1000,normal,164,11164,11164
2013,11165,1000,normal,165,11165,11165
2013,11166,1000,normal,166,11166,11166
2013,11180,1000,normal,180,11180,11180
2013,11273,1000,normal,273,11273,11273
2013,11340,1000,normal,340,11340,11340
2013,11344,1000,normal,344,11344,11344
2013,11349,1000,normal,349,11349,11349
2013,11367,1000,normal,367,11367,11367
2013,11515,1000,normal,515,11515,11515
2013,11528,1000,normal,528,11528,11528
2013,11540,1000,normal,540,11540,11540
2013,11634,1000,normal,634,11634,11634
2013,11750,1000,normal,750,11750,11750
2013,11761,1000,normal,761,11761,11761
2013,11807,1000,normal,807,11807,11807
2013,11820,1000,normal,820,11820,11820
2013,11869,1000,normal,869,11869,11869
2013,11971,1000,normal,971,11971,11971
2013,12036,1000,normal,036,12036,12036
2013,12054,1000,normal,054,12054,12054
2013,12142,1000,normal,142,12142,12142
2013,12176,1000,normal,176,12176,12176
2013,12242,1000,normal,242,12242,12242
2013,12248,1000,normal,248,12248,12248
2013,12343,1000,normal,343,12343,12343
2013,12368,1000,normal,368,12368,12368
2013,12370,1000,normal,370,12370,12370
2013,12372,1000,normal,372,12372,12372
2013,12380,1000,normal,380,12380,12380
2013,12434,1000,normal,434,12434,12434
2013,12478,1000,normal,478,12478,12478
2013,12484,1000,normal,484,12484,12484
2013,12506,1000,normal,506,12506,12506
2013,12531,1000,normal,531,12531,12531
2013,12603,1000,normal,603,12603,12603
2013,12635,1000,normal,635,12635,12635
2013,12651,1000,normal,651,12651,12651
2013,12654,1000,normal,654,12654,12654
2013,12661,1000,normal,661,12661,12661
2013,12720,1000,normal,720,12720,12720
2013,12811,1000,normal,811,12811,12811
2013,12889,1000,normal,889,12889,12889
2013,12948,1000,normal,948,12948,12948
2013,13003,1000,normal,003,13003,13003
2013,13192,1000,normal,192,13192,13192
2013,13195,1000,normal,195,13195,13195
2013,13246,1000,normal,246,13246,13246
2013,13352,1000,normal,352,13352,13352
2013,13497,1000,normal,497,13497,13497
2013,13516,1000,normal,516,13516,13516
2013,13530,1000,normal,530,13530,13530
2013,13537,1000,normal,537,13537,13537
2013,13648,1000,normal,648,13648,13648
2013,13744,1000,normal,744,13744,13744
2013,13751,1000,normal,751,13751,13751
2013,13764,1000,normal,764,13764,13764
2013,13767,1000,normal,767,13767,13767
2013,13961,1000,normal,961,13961,13961
2013,13967,1000,normal,967,13967,13967
2013,14018,1000,normal,018,14018,14018
2013,14114,1000,normal,114,14114,14114
2013,14141,1000,normal,141,14141,14141
2013,14144,1000,normal,144,14144,14144
2013,14291,1000,normal,291,14291,14291
2013,14296,1000,normal,296,14296,14296
2013,14364,1000,normal,364,14364,14364
2013,14384,1000,normal,384,14384,14384
2013,14421,1000,normal,421,14421,14421
2013,14488,1000,normal,488,14488,14488
2013,14598,1000,normal,598,14598,14598
2013,14759,1000,normal,759,14759,14759
2013,14866,1000,normal,866,14866,14866
2013,14867,1000,normal,867,14867,14867
2013,14870,1000,normal,870,14870,14870
2013,14874,1000,normal,874,14874,14874
2013,14878,1000,normal,878,14878,14878
2013,14945,1000,normal,945,14945,14945
2013,14963,1000,normal,963,14963,14963
2013,15051,1000,normal,051,15051,15051
2013,15070,1000,normal,070,15070,15070
2013,15200,1000,normal,200,15200,15200
2013,15212,1000,normal,212,15212,15212
2013,15268,1000,normal,268,15268,15268
2013,15286,1000,normal,286,15286,15286
2013,15300,1000,normal,300,15300,15300
2013,15325,1000,normal,325,15325,15325
2013,15330,1000,normal,330,15330,15330
2013,15339,1000,normal,339,15339,15339
2013,15388,1000,normal,388,15388,15388
2013,15441,1000,normal,441,15441,15441
2013,15516,1000,normal,516,15516,15516
2013,15522,1000,normal,522,15522,15522
2013,15869,1000,normal,869,15869,15869
2013,15993,1000,normal,993,15993,15993
2013,16171,1000,normal,171,16171,16171
2013,16188,1000,normal,188,16188,16188
2013,16331,1000,normal,331,16331,16331
2013,16354,1000,normal,354,16354,16354
2013,16360,1000,normal,360,16360,16360
2013,16370,1000,normal,370,16370,16370
2013,16416,1000,normal,416,16416,16416
2013,16438,1000,normal,438,16438,16438
2013,16469,1000,normal,469,16469,16469
2013,16533,1000,normal,533,16533,16533
2013,16549,1000,normal,549,16549,16549
2013,16584,1000,normal,584,16584,16584
2013,16593,1000,normal,593,16593,16593
2013,16609,1000,normal,609,16609,16609
2013,16668,1000,normal,668,16668,16668
2013,16737,1000,normal,737,16737,16737
2013,16826,1000,normal,826,16826,16826
2013,16890,1000,normal,890,16890,16890
2013,16914,1000,normal,914,16914,16914
2013,17122,1000,normal,122,17122,17122
2013,17155,1000,normal,155,17155,17155
2013,17285,1000,normal,285,17285,17285
2013,14850,60000,especial,850,14850,14850
2013,17318,1000,normal,318,17318,17318
2013,17380,1000,normal,380,17380,17380
2013,17398,1000,normal,398,17398,17398
2013,17432,1000,normal,432,17432,17432
2013,17455,1000,normal,455,17455,17455
2013,17477,1000,normal,477,17477,17477
2013,17493,1000,normal,493,17493,17493
2013,17519,1000,normal,519,17519,17519
2013,17532,1000,normal,532,17532,17532
2013,17544,1000,normal,544,17544,17544
2013,17750,1000,normal,750,17750,17750
2013,17940,1000,normal,940,17940,17940
2013,17963,1000,normal,963,17963,17963
2013,17997,1000,normal,997,17997,17997
2013,18015,1000,normal,015,18015,18015
2013,18061,1000,normal,061,18061,18061
2013,18106,1000,normal,106,18106,18106
2013,18148,1000,normal,148,18148,18148
2013,18201,1000,normal,201,18201,18201
2013,18224,1000,normal,224,18224,18224
2013,18376,1000,normal,376,18376,18376
2013,18422,1000,normal,422,18422,18422
2013,18555,1000,normal,555,18555,18555
2013,18568,1000,normal,568,18568,18568
2013,18595,1000,normal,595,18595,18595
2013,18623,1000,normal,623,18623,18623
2013,18727,1000,normal,727,18727,18727
2013,18848,1000,normal,848,18848,18848
2013,19055,1000,normal,055,19055,19055
2013,19120,1000,normal,120,19120,19120
2013,19173,1000,normal,173,19173,19173
2013,19285,1000,normal,285,19285,19285
2013,19315,1000,normal,315,19315,19315
2013,19321,1000,normal,321,19321,19321
2013,19338,1000,normal,338,19338,19338
2013,19372,1000,normal,372,19372,19372
2013,19472,1000,normal,472,19472,19472
2013,19492,1000,normal,492,19492,19492
2013,19508,1000,normal,508,19508,19508
2013,19606,1000,normal,606,19606,19606
2013,19651,1000,normal,651,19651,19651
2013,19683,1000,normal,683,19683,19683
2013,19689,1000,normal,689,19689,19689
2013,19787,1000,normal,787,19787,19787
2013,19808,1000,normal,808,19808,19808
2013,19810,1000,normal,810,19810,19810
2013,19929,1000,normal,929,19929,19929
2013,19949,1000,normal,949,19949,19949
2013,17320,60000,especial,320,17320,17320
2013,20186,1000,normal,186,20186,20186
2013,20349,1000,normal,349,20349,20349
2013,20462,1000,normal,462,20462,20462
2013,20510,1000,normal,510,20510,20510
2013,20560,1000,normal,560,20560,20560
2013,20567,1000,normal,567,20567,20567
2013,20674,1000,normal,674,20674,20674
2013,20711,1000,normal,711,20711,20711
2013,20724,1000,normal,724,20724,20724
2013,20785,1000,normal,785,20785,20785
2013,20828,1000,normal,828,20828,20828
2013,20885,1000,normal,885,20885,20885
2013,20932,1000,normal,932,20932,20932
2013,20935,1000,normal,935,20935,20935
2013,20945,1000,normal,945,20945,20945
2013,20956,1000,normal,956,20956,20956
2013,21026,1000,normal,026,21026,21026
2013,21033,1000,normal,033,21033,21033
2013,21053,1000,normal,053,21053,21053
2013,21147,1000,normal,147,21147,21147
2013,21163,1000,normal,163,21163,21163
2013,21180,1000,normal,180,21180,21180
2013,21210,1000,normal,210,21210,21210
2013,21237,1000,normal,237,21237,21237
2013,21269,1000,normal,269,21269,21269
2013,21415,1000,normal,415,21415,21415
2013,21491,1000,normal,491,21491,21491
2013,21499,1000,normal,499,21499,21499
2013,21510,1000,normal,510,21510,21510
2013,21528,1000,normal,528,21528,21528
2013,21560,1000,normal,560,21560,21560
2013,21580,1000,normal,580,21580,21580
2013,21714,1000,normal,714,21714,21714
2013,21799,1000,normal,799,21799,21799
2013,21871,1000,normal,871,21871,21871
2013,21899,1000,normal,899,21899,21899
2013,21946,1000,normal,946,21946,21946
2013,21986,1000,normal,986,21986,21986
2013,21991,1000,normal,991,21991,21991
2013,22042,1000,normal,042,22042,22042
2013,22175,1000,normal,175,22175,22175
2013,22188,1000,normal,188,22188,22188
2013,22292,1000,normal,292,22292,22292
2013,22409,1000,normal,409,22409,22409
2013,22581,1000,normal,581,22581,22581
2013,22659,1000,normal,659,22659,22659
2013,22667,1000,normal,667,22667,22667
2013,22721,1000,normal,721,22721,22721
2013,22722,1000,normal,722,22722,22722
2013,22795,1000,normal,795,22795,22795
2013,22995,1000,normal,995,22995,22995
2013,23059,1000,normal,059,23059,23059
2013,23064,1000,normal,064,23064,23064
2013,23101,1000,normal,101,23101,23101
2013,23215,1000,normal,215,23215,23215
2013,23321,1000,normal,321,23321,23321
2013,23589,1000,normal,589,23589,23589
2013,23738,1000,normal,738,23738,23738
2013,23746,1000,normal,746,23746,23746
2013,23779,1000,normal,779,23779,23779
2013,23791,1000,normal,791,23791,23791
2013,23824,1000,normal,824,23824,23824
2013,23832,1000,normal,832,23832,23832
2013,23854,1000,normal,854,23854,23854
2013,23940,1000,normal,940,23940,23940
2013,23958,1000,normal,958,23958,23958
2013,24003,1000,normal,003,24003,24003
2013,24070,1000,normal,070,24070,24070
2013,24130,1000,normal,130,24130,24130
2013,24149,1000,normal,149,24149,24149
2013,24151,1000,normal,151,24151,24151
2013,24166,1000,normal,166,24166,24166
2013,24212,1000,normal,212,24212,24212
2013,24255,1000,normal,255,24255,24255
2013,24260,1000,normal,260,24260,24260
2013,24376,1000,normal,376,24376,24376
2013,24404,1000,normal,404,24404,24404
2013,24412,1000,normal,412,24412,24412
2013,24418,1000,normal,418,24418,24418
2013,24434,1000,normal,434,24434,24434
2013,24440,1000,normal,440,24440,24440
2013,24526,1000,normal,526,24526,24526
2013,24576,1000,normal,576,24576,24576
2013,24585,1000,normal,585,24585,24585
2013,24598,1000,normal,598,24598,24598
2013,24620,1000,normal,620,24620,24620
2013,24670,1000,normal,670,24670,24670
2013,24814,1000,normal,814,24814,24814
2013,24836,1000,normal,836,24836,24836
2013,24851,1000,normal,851,24851,24851
2013,25061,1000,normal,061,25061,25061
2013,25065,1000,normal,065,25065,25065
2013,25203,1000,normal,203,25203,25203
2013,25226,1000,normal,226,25226,25226
2013,25292,1000,normal,292,25292,25292
2013,25304,1000,normal,304,25304,25304
2013,25330,1000,normal,330,25330,25330
2013,25458,1000,normal,458,25458,25458
2013,25459,1000,normal,459,25459,25459
2013,25579,1000,normal,579,25579,25579
2013,25726,1000,normal,726,25726,25726
2013,25754,1000,normal,754,25754,25754
2013,25755,1000,normal,755,25755,25755
2013,25761,1000,normal,761,25761,25761
2013,25794,1000,normal,794,25794,25794
2013,25815,1000,normal,815,25815,25815
2013,25825,1000,normal,825,25825,25825
2013,26009,1000,normal,009,26009,26009
2013,26070,1000,normal,070,26070,26070
2013,26111,1000,normal,111,26111,26111
2013,26121,1000,normal,121,26121,26121
2013,26123,1000,normal,123,26123,26123
2013,26310,1000,normal,310,26310,26310
2013,26336,1000,normal,336,26336,26336
2013,26352,1000,normal,352,26352,26352
2013,26397,1000,normal,397,26397,26397
2013,26447,1000,normal,447,26447,26447
2013,26593,1000,normal,593,26593,26593
2013,26646,1000,normal,646,26646,26646
2013,26652,1000,normal,652,26652,26652
2013,26747,1000,normal,747,26747,26747
2013,26882,1000,normal,882,26882,26882
2013,26972,1000,normal,972,26972,26972
2013,27020,1000,normal,020,27020,27020
2013,27159,1000,normal,159,27159,27159
2013,27217,1000,normal,217,27217,27217
2013,27331,1000,normal,331,27331,27331
2013,27437,1000,normal,437,27437,27437
2013,27448,1000,normal,448,27448,27448
2013,27564,1000,normal,564,27564,27564
2013,27645,1000,normal,645,27645,27645
2013,27660,1000,normal,660,27660,27660
2013,27669,1000,normal,669,27669,27669
2013,27670,1000,normal,670,27670,27670
2013,27797,1000,normal,797,27797,27797
2013,27854,1000,normal,854,27854,27854
2013,27917,1000,normal,917,27917,27917
2013,27966,1000,normal,966,27966,27966
2013,27968,1000,normal,968,27968,27968
2013,27984,1000,normal,984,27984,27984
2013,28049,1000,normal,049,28049,28049
2013,28054,1000,normal,054,28054,28054
2013,28081,1000,normal,081,28081,28081
2013,28126,1000,normal,126,28126,28126
2013,28143,1000,normal,143,28143,28143
2013,28159,1000,normal,159,28159,28159
2013,28174,1000,normal,174,28174,28174
2013,28227,1000,normal,227,28227,28227
2013,28288,1000,normal,288,28288,28288
2013,28438,1000,normal,438,28438,28438
2013,28450,1000,normal,450,28450,28450
2013,28461,1000,normal,461,28461,28461
2013,28515,1000,normal,515,28515,28515
2013,28671,1000,normal,671,28671,28671
2013,28675,1000,normal,675,28675,28675
2013,28746,1000,normal,746,28746,28746
2013,28753,1000,normal,753,28753,28753
2013,28811,1000,normal,811,28811,28811
2013,28823,1000,normal,823,28823,28823
2013,28845,1000,normal,845,28845,28845
2013,28969,1000,normal,969,28969,28969
2013,28989,1000,normal,989,28989,28989
2013,29200,1000,normal,200,29200,29200
2013,29218,1000,normal,218,29218,29218
2013,29245,1000,normal,245,29245,29245
2013,29286,1000,normal,286,29286,29286
2013,29486,1000,normal,486,29486,29486
2013,29491,1000,normal,491,29491,29491
2013,29542,1000,normal,542,29542,29542
2013,29663,1000,normal,663,29663,29663
2013,29672,1000,normal,672,29672,29672
2013,29687,1000,normal,687,29687,29687
2013,29716,1000,normal,716,29716,29716
2013,29750,1000,normal,750,29750,29750
2013,29808,1000,normal,808,29808,29808
2013,29958,1000,normal,958,29958,29958
2013,29968,1000,normal,968,29968,29968
2013,30065,1000,normal,065,30065,30065
2013,30105,1000,normal,105,30105,30105
2013,30173,1000,normal,173,30173,30173
2013,30203,1000,normal,203,30203,30203
2013,30235,1000,normal,235,30235,30235
2013,30498,1000,normal,498,30498,30498
2013,30512,1000,normal,512,30512,30512
2013,30549,1000,normal,549,30549,30549
2013,30633,1000,normal,633,30633,30633
2013,30774,1000,normal,774,30774,30774
2013,30841,1000,normal,841,30841,30841
2013,30921,1000,normal,921,30921,30921
2013,30999,1000,normal,999,30999,30999
2013,31044,1000,normal,044,31044,31044
2013,31051,1000,normal,051,31051,31051
2013,31245,1000,normal,245,31245,31245
2013,31326,1000,normal,326,31326,31326
2013,31344,1000,normal,344,31344,31344
2013,31413,1000,normal,413,31413,31413
2013,31512,1000,normal,512,31512,31512
2013,31589,1000,normal,589,31589,31589
2013,31684,1000,normal,684,31684,31684
2013,31789,1000,normal,789,31789,31789
2013,31796,1000,normal,796,31796,31796
2013,31878,1000,normal,878,31878,31878
2013,32158,1000,normal,158,32158,32158
2013,32166,1000,normal,166,32166,32166
2013,32172,1000,normal,172,32172,32172
2013,32222,1000,normal,222,32222,32222
2013,32280,1000,normal,280,32280,32280
2013,32351,1000,normal,351,32351,32351
2013,32361,1000,normal,361,32361,32361
2013,32389,1000,normal,389,32389,32389
2013,32448,1000,normal,448,32448,32448
2013,32453,1000,normal,453,32453,32453
2013,32454,1000,normal,454,32454,32454
2013,32521,1000,normal,521,32521,32521
2013,32547,1000,normal,547,32547,32547
2013,32584,1000,normal,584,32584,32584
2013,32599,1000,normal,599,32599,32599
2013,32710,1000,normal,710,32710,32710
2013,32769,1000,normal,769,32769,32769
2013,32793,1000,normal,793,32793,32793
2013,32809,1000,normal,809,32809,32809
2013,32894,1000,normal,894,32894,32894
2013,32936,1000,normal,936,32936,32936
2013,32976,1000,normal,976,32976,32976
2013,33013,1000,normal,013,33013,33013
2013,33051,1000,normal,051,33051,33051
2013,33068,1000,normal,068,33068,33068
2013,33141,1000,normal,141,33141,33141
2013,33242,1000,normal,242,33242,33242
2013,33589,1000,normal,589,33589,33589
2013,33792,1000,normal,792,33792,33792
2013,33803,1000,normal,803,33803,33803
2013,33816,1000,normal,816,33816,33816
2013,33903,1000,normal,903,33903,33903
2013,33912,1000,normal,912,33912,33912
2013,33980,1000,normal,980,33980,33980
2013,34123,1000,normal,123,34123,34123
2013,34144,1000,normal,144,34144,34144
2013,34147,1000,normal,147,34147,34147
2013,34154,1000,normal,154,34154,34154
2013,34190,1000,normal,190,34190,34190
2013,34300,1000,normal,300,34300,34300
2013,34333,1000,normal,333,34333,34333
2013,34351,1000,normal,351,34351,34351
2013,34442,1000,normal,442,34442,34442
2013,34583,1000,normal,583,34583,34583
2013,34629,1000,normal,629,34629,34629
2013,34675,1000,normal,675,34675,34675
2013,34699,1000,normal,699,34699,34699
2013,34810,1000,normal,810,34810,34810
2013,34919,1000,normal,919,34919,34919
2013,34984,1000,normal,984,34984,34984
2013,34988,1000,normal,988,34988,34988
2013,35011,1000,normal,011,35011,35011
2013,35049,1000,normal,049,35049,35049
2013,35057,1000,normal,057,35057,35057
2013,35157,1000,normal,157,35157,35157
2013,35253,1000,normal,253,35253,35253
2013,35328,1000,normal,328,35328,35328
2013,35457,1000,normal,457,35457,35457
2013,35483,1000,normal,483,35483,35483
2013,35584,1000,normal,584,35584,35584
2013,35623,1000,normal,623,35623,35623
2013,35669,1000,normal,669,35669,35669
2013,35673,1000,normal,673,35673,35673
2013,35805,1000,normal,805,35805,35805
2013,35806,1000,normal,806,35806,35806
2013,35913,1000,normal,913,35913,35913
2013,35919,1000,normal,919,35919,35919
2013,35948,1000,normal,948,35948,35948
2013,36043,1000,normal,043,36043,36043
2013,36044,1000,normal,044,36044,36044
2013,36140,1000,normal,140,36140,36140
2013,36173,1000,normal,173,36173,36173
2013,36180,1000,normal,180,36180,36180
2013,36204,1000,normal,204,36204,36204
2013,36221,1000,normal,221,36221,36221
2013,36222,1000,normal,222,36222,36222
2013,36261,1000,normal,261,36261,36261
2013,36307,1000,normal,307,36307,36307
2013,36311,1000,normal,311,36311,36311
2013,36387,1000,normal,387,36387,36387
2013,36428,1000,normal,428,36428,36428
2013,36453,1000,normal,453,36453,36453
2013,36469,1000,normal,469,36469,36469
2013,36494,1000,normal,494,36494,36494
2013,36514,1000,normal,514,36514,36514
2013,36527,1000,normal,527,36527,36527
2013,36636,1000,normal,636,36636,36636
2013,36656,1000,normal,656,36656,36656
2013,36665,1000,normal,665,36665,36665
2013,36820,1000,normal,820,36820,36820
2013,36851,1000,normal,851,36851,36851
2013,36905,1000,normal,905,36905,36905
2013,36914,1000,normal,914,36914,36914
2013,36939,1000,normal,939,36939,36939
2013,36962,1000,normal,962,36962,36962
2013,37105,1000,normal,105,37105,37105
2013,37122,1000,normal,122,37122,37122
2013,37135,1000,normal,135,37135,37135
2013,37158,1000,normal,158,37158,37158
2013,37161,1000,normal,161,37161,37161
2013,37232,1000,normal,232,37232,37232
2013,37335,1000,normal,335,37335,37335
2013,37405,1000,normal,405,37405,37405
2013,37458,1000,normal,458,37458,37458
2013,37497,1000,normal,497,37497,37497
2013,37502,1000,normal,502,37502,37502
2013,37692,1000,normal,692,37692,37692
2013,37745,1000,normal,745,37745,37745
2013,37763,1000,normal,763,37763,37763
2013,37789,1000,normal,789,37789,37789
2013,37881,1000,normal,881,37881,37881
2013,37929,1000,normal,929,37929,37929
2013,37945,1000,normal,945,37945,37945
2013,37987,1000,normal,987,37987,37987
2013,38165,1000,normal,165,38165,38165
2013,38280,1000,normal,280,38280,38280
2013,38332,1000,normal,332,38332,38332
2013,38416,1000,normal,416,38416,38416
2013,38419,1000,normal,419,38419,38419
2013,38441,1000,normal,441,38441,38441
2013,38459,1000,normal,459,38459,38459
2013,38621,1000,normal,621,38621,38621
2013,38708,1000,normal,708,38708,38708
2013,38783,1000,normal,783,38783,38783
2013,38806,1000,normal,806,38806,38806
2013,38854,1000,normal,854,38854,38854
2013,38865,1000,normal,865,38865,38865
2013,39154,1000,normal,154,39154,39154
2013,39167,1000,normal,167,39167,39167
2013,39197,1000,normal,197,39197,39197
2013,39430,1000,normal,430,39430,39430
2013,39433,1000,normal,433,39433,39433
2013,39462,1000,normal,462,39462,39462
2013,39579,1000,normal,579,39579,39579
